gene,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ADAMTS20,0.1,0.1,0.1,0.1,0.1,0.046324798
ADAMTS3,0.12294525,0.284596,0.1,0.1,0.1,0.493111
ADAMTS4,0.154769167,0.166222,3.024626,3.8,0.51085,0.10044295
ADAMTS5,0.1,0.26521,0.1536646,0.1,0.1,0.1154591
ADAMTS6,0.101736167,1.87392,0.2545724,0.1,0.2174755,0.25392075
ADAMTS7,0.1,0.1,0.1,0.1,0.1,0.1
ADAMTS8,0.119004167,0.330949,0.4772366,0.1,1.2402305,0.44724075
ADAMTS9,0.4042585,0.802711,0.3191902,0.1,0.2550795,0.30058
ADAMTS9-AS2,0.153129,0.908925,0.10171,0.1,0.7306075,0.254824975
ADAMTSL1,0.1,0.41145,0.1043306,0.1,0.1,0.049465775
ADAMTSL2,0.1,0.1,0.1,0.1,0.1049365,0.078378275
ADAMTSL3,0.1066065,0.76811,0.4433214,0.1,0.198701,0.23779125
ADAMTSL4,0.1257835,0.1,0.1233038,0.6,0.1,0.094517625
ADAMTSL5,0.595889167,0.172922,0.1,0.1,0.1,0.1018495
ADAP1,0.1006665,0.1,0.1,0.1,0.116573,0.05767815
ADAP2,0.266261667,0.1,0.5193034,9.4,0.4667535,0.169539975
ADAR,9.56259,15.3144,7.41372,9.8,9.32006,5.223905
ADARB1,0.621822583,4.73522,0.3775724,0.6,0.6390995,2.626875
ADARB2,0.644948917,6.38176,2.02735,0.1,0.193087,0.616434
ADARB2-AS1,0.1,0.1,0.5333034,0.1,0.1,0.14036125
ADAT1,0.846324583,1.23377,0.7982842,1.1,0.425755,0.3942165
ADAT2,0.328746083,0.566242,0.1990188,0.6,0.1,0.474899
ADAT3,0.1,0.1,0.1,0.1,0.1,0.1
ADC,0.16889175,0.34886,0.3077696,0.4,0.305036,0.14924475
ADCK1,0.7624085,2.39553,0.706665,0.9,0.491181,0.296704475
ADCK2,0.590542583,1.48947,0.8975336,2.1,0.226458,0.132459
ADCK3,0.9966445,1.09609,0.9011426,0.5,0.4141875,0.438285775
ADCK4,0.20305875,0.1,0.1,0.1,0.1,0.1
ADCK5,0.1,0.1,0.1,0.1,0.1,0.1
ADCY1,0.196034167,3.4671,0.5693878,0.1,0.985628,1.50197225
ADCY10,0.1,0.1,0.1022734,0.1,0.1,0.0480602
ADCY2,18.74868333,14.4738,0.943107,0.1,0.885021,3.16161825
ADCY3,1.255054333,0.955482,0.5454234,0.7,0.7799785,0.36638575
ADCY4,0.1,0.1,0.1,0.1,1.731475,0.110336175
ADCY5,0.269431333,1.0221,1.0296688,0.1,0.402825,0.64200525
ADCY6,0.454558833,0.644174,0.323756,0.2,0.5986385,0.215042675
ADCY7,0.344266833,0.423321,0.7779372,6.7,0.165983,0.323439
ADCY8,3.772845833,1.35032,0.8665758,0.1,0.117685,0.6902585
ADCY9,1.06036375,0.333654,0.2379938,0.2,0.486834,0.273438675
ADCYAP1,0.107332917,1.08585,0.1630426,0.1,0.103604,1.05365775
ADCYAP1R1,30.73171667,13.5107,1.5177836,0.2,0.85601,1.3099545
ADD1,16.02496583,5.4672,6.936474,3.5,6.056095,2.98914
ADD2,0.279602667,13.5437,0.9653868,0.2,1.317565,5.253625
ADD3,111.088775,19.8517,40.60452,2.1,5.16048,41.58455
ADGB,0.1,0.1,0.1,0.1,0.1,0.085233525
ADH1A,0.1,0.1,0.1,0.1,0.1,0.1
ADH1B,0.1,0.1,0.1,0.1,0.556086,0.066850175
ADH1C,0.1,0.1,0.1,0.1,0.1,0.1
ADH4,0.154077083,0.1,0.1,0.1,0.1,0.06227565
ADH5,22.73599167,10.0702,7.72568,5.9,3.84474,4.1246225
ADH6,0.137298417,0.1,0.1,0.1,0.1,0.084967375
ADH7,0.1,0.1,0.1,0.1,0.1,0.1
ADHFE1,12.67868333,1.09019,1.830022,0.9,0.835687,1.298656
ADI1,20.7460175,9.25387,9.283942,6.3,3.88351,2.1929095
ADIG,0.107864583,0.1,0.1,0.1,0.1,0.1
ADIPOQ,0.1,0.1,0.1,0.1,0.1,0.054978448
ADIPOR1,15.89238,8.31366,9.06467,12.0,13.079105,2.114461
ADIPOR2,3.808359167,2.79886,13.80532,4.4,5.980535,0.58000025
ADK,7.720376667,11.2785,4.628718,5.5,3.42648,2.94257
ADM,4.854764083,1.48751,0.436967,4.8,19.2997,0.0923678
ADM2,0.1,0.1,0.1,0.1,0.1,0.0775745
ADNP,12.3378975,15.4576,9.580484,13.0,2.967115,5.84794
ADNP2,2.836789167,2.84334,2.628488,4.5,0.9708375,1.2360175
ADO,1.689165,4.09726,4.284726,7.2,0.520925,1.1589
ADORA1,1.426554917,0.1,0.713053,0.1,0.2351065,0.19190815
ADORA2A,0.1,0.1,0.1,0.2,2.122135,0.083317425
ADORA2B,13.61092417,1.37095,0.2267146,0.2,0.933412,0.76857925
ADORA3,2.442451417,1.16125,20.772898,149.8,0.6387595,2.19906075
ADPGK,2.291114167,1.7779,1.979364,11.1,1.311486,0.676207
ADPRH,0.186494083,0.283213,0.73402,10.3,1.39927,0.16789925
ADPRHL1,0.247114917,0.276355,0.1,0.1,0.1,0.07322605
ADPRHL2,0.7507365,0.31048,1.1600518,1.0,0.3725755,0.117338575
ADRA1A,1.449959917,2.4177,0.2593616,0.1,0.129711,0.5952585
ADRA1B,0.425124583,1.45807,0.1,0.1,0.153189,0.173728075
ADRA1D,0.104450167,0.466135,0.1,0.1,0.1,0.047508825
ADRA2A,0.484422417,3.80514,0.1,0.1,0.218368,0.138972675
ADRA2B,0.1,0.1,0.1176624,0.1,0.1,0.1
ADRA2C,0.1,0.1,0.1,0.1,0.447498,0.138555
ADRB1,4.907393333,3.96967,0.2790052,0.9,0.197663,0.60003075
ADRB2,5.678623333,0.500991,1.4182856,22.5,5.39882,0.508154
ADRB3,0.1,0.281992,0.1,0.1,0.1,0.105276025
ADRBK1,0.117434417,0.1,0.1,0.3,0.162113,0.08806555
ADRBK2,2.024,21.5697,0.8206236,3.9,1.93249,3.9423975
ADRM1,0.539462333,0.1,0.1609106,0.3,0.4638585,0.54392175
