gene,nOPCs_mean,aOPCs_mean,aOLs_mean,activatedaOPCs_mean,non_activatedaOPCs_mean
0,8.697147677,8.771577897,8.765916232,9.696267378,9.061185712
Wdr36,9.306102913,9.483239657,9.363912924,9.80517426,9.584283778
BC024137,8.777313598,9.135398861,9.122011907,9.291798058,8.956395465
Hoxb1,8.989424107,8.851024658,8.786841102,8.941607307,8.995725965
Brunol4,8.864056894,9.183959174,9.340161087,9.357920553,9.241424932
4930520P13Rik,8.923464379,9.336205682,9.351675765,9.29507255,9.313045634
Ppp1r8,10.75257886,10.85372197,10.82843939,10.30717193,10.00944551
Dnajb9,9.396860744,9.512182785,9.958883227,10.13139347,9.627468269
Ccr3,8.86661561,8.889156998,8.941335931,8.917922981,9.072341814
Gm12866,8.713487955,8.819161114,8.826770589,9.249922268,8.819781469
Nsd1,13.10809231,12.23084215,12.22921288,12.24826641,12.37283904
0,11.76931751,10.73621006,11.37893665,10.84968838,10.61975059
0,10.92898688,11.60030573,11.52796605,11.54474352,12.08337577
D530049N12Rik,8.862798712,8.8213555,8.855991607,8.894277199,8.952742151
Fbxo2,11.20784098,14.78874184,14.86860449,13.15979859,14.58289434
Mtap7d1,13.94450273,15.78237457,15.71067831,15.05068028,15.87753833
LOC100046257,9.00935448,9.099923079,9.238247582,9.104460812,8.936875022
Cd3e,9.863645648,10.2402858,10.79841057,9.974186476,9.776224723
Gm8364,9.35939926,8.853947997,8.929257118,9.085444588,8.923700928
Parp16,8.923927311,8.884586031,8.86401441,9.184356137,8.933912505
Atp6v1c2,8.967374445,8.788435666,8.833249924,9.055991345,8.902384381
Speer4a,9.077059151,9.70514866,9.969928182,9.331373175,9.51607081
4930434E21Rik,8.898630545,8.947032695,8.991455125,8.983764686,8.785664595
Dok3,9.234372123,9.66754435,9.545222655,9.639731169,9.298928702
Dhx40,9.15891921,9.838567875,9.956548898,9.640275663,9.77624534
Zbtb7b,8.803793929,9.408008106,9.516468596,9.845736791,9.13386364
Gm10105,10.25751803,10.07368297,10.34793051,9.452991089,9.824231654
AU023639,8.819696932,8.867567509,8.980564462,9.001280646,9.290419594
0,8.736214789,8.816685026,8.867782138,9.170398328,9.232106194
E030042N06Rik,8.920349194,9.1963614,9.15253786,9.140098698,9.062960864
Hoxc12,9.078026714,9.036668073,9.044019419,9.278849835,9.034001921
Ttll13,9.052475755,8.76706242,8.85353198,9.074552462,9.099051795
ERCC-00043_129,8.892705982,9.045121324,8.957389861,8.995032117,8.991089637
0,9.647268123,9.934057349,9.912300579,9.65746089,9.480452171
Pgr,8.808215641,8.883070374,8.784269088,9.036201077,8.914517717
Rasa1,9.804312706,9.73281068,9.707955105,9.874739695,10.04912034
Mixl1,8.737803557,8.747041497,8.965868044,9.187939937,9.001821344
Olfr186,8.81101478,8.769347636,8.905662237,8.928828597,8.930869785
1110031I02Rik,11.7469209,11.89406572,11.65001538,11.50219035,11.80727653
Kpna3,10.16598178,10.3960282,10.33494024,10.41889843,10.31541599
