gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
Plxna1,620.24232,776.2826832,863.2830852
Rnaseh2b,1513.651622,1356.589692,1211.149156
Gm15645,324.1601527,314.4832636,263.602382
LOC665985,227.1372752,247.3632559,235.4201611
Hdc,266.1770064,276.0739609,285.8454095
0,263.9773224,312.8360334,294.6632566
Defb28,224.8762591,233.6684136,218.1204505
Pyroxd1,311.4465336,467.4164275,432.4708714
0,212.7386406,193.5077095,206.0027289
Fh1,4415.469858,3010.646309,3103.546069
0,219.7656612,219.758092,208.6124868
Actbl2,201.0990206,200.4036995,204.2765091
Gm5088,279.1764585,240.5372032,253.2643605
Kcne3,209.9648221,234.9511191,248.2926166
Ltb4r2,215.3258155,229.0820566,266.6526198
Il24,252.3501879,254.995322,253.7890134
Gm3610,212.8133636,204.9595341,216.6813268
Mrps35,501.3710752,490.9601177,520.1294534
0,292.0730891,282.7654543,552.357753
Mlx,365.8866791,638.6359452,638.9677325
Fbxo30,451.783253,403.4161173,451.5109373
Apol10a,222.8197327,200.506665,213.7963759
Cdc26,2086.172509,1260.540067,1497.04215
Mtvr2,10638.02233,3996.279351,3540.554955
Map3k15,246.6347558,239.031512,265.5467134
Rab3d,230.3920852,217.7246343,231.426143
Creld2,6833.954639,4964.738354,4696.713132
Gm4925,285.362213,227.3342945,245.749173
Gm4547,223.292227,194.6693116,217.2836882
Il31ra,234.9091015,212.3776178,232.1432136
Cdkl4,246.4463067,231.6299839,272.7787027
Glyr1,2324.079452,1896.344618,1896.718782
Gm4952,236.7889448,214.9070252,277.7343261
Lsamp,459.909047,241.0680825,258.0161661
(+)E1A_r60_n11,213.6190484,212.2041868,221.1441686
Kdm5c,4622.94614,3153.353643,3367.347303
Tcf3,2258.904147,1522.822654,1551.770111
Sly,225.952737,199.8504318,234.4606957
Clec11a,591.9769718,312.7900211,314.6016952
0,210.3751171,350.8848166,328.9528768
Frg1,1385.911264,1984.529933,2111.385013
4930563E22Rik,266.1128215,312.2314536,313.3275595
Acss2,307.7943942,573.5874911,707.4099257
Srp54c,3071.725595,5588.475701,4471.005377
Morf4l2,1506.505425,501.6800836,546.6490459
4932431P20Rik,2817.961919,2576.63191,2864.338533
0,221.4687867,271.251147,266.550823
AW146154,402.3663006,939.1891857,853.6362105
Hpca,1551.914207,486.719158,294.8515936
Mbl2,222.5929715,275.429588,204.7180239
0,275.8277497,476.483633,439.8541234
ENSMUSG00000054541,200.9938427,283.3149911,201.6720955
Copg,276.9145458,388.5659218,311.6809652
Rpl27a,32755.1342,21362.11034,21496.09116
LOC100047134,224.4485818,349.1067948,212.752552
V1rd20,213.6348858,387.0149502,191.8145831
2010000I03Rik,249.2873015,454.729847,269.960377
0,211.5876555,409.2170509,226.9724641
0,226.4665933,466.4172236,199.8918582
Gm7555,9866.473721,6783.603789,6263.677101
Slc25a1,834.3141412,3037.91106,2752.58281
Trim42,222.8444879,606.4667809,249.0528425
Gm15762,214.5595939,591.1178261,237.3508566
0,11230.44514,562.5892882,293.7974405
Gm3804,2953.92536,2763.382745,969.300335
0,263.421547,263.9659725,219.4235386
Zfp354a,597.1633557,578.1986265,679.6609161
Gm5463,217.6201497,222.9992009,205.6348323
0,252.5756658,210.1490482,209.6274757
Armc4,230.0782,218.7268289,217.032442
Dnase1l1,329.9752694,315.9321064,291.7577425
Khnyn,261.010217,340.598907,311.33826
0,202.6291473,216.3391159,205.9288302
Vmn2r65,220.7841542,245.2734736,268.7308148
