gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ACOT2,1.24233875,1.94091575,0.952383333,3.624264167,4.27351,0.6687328,0.5,0.691489,0.34341635
ACOT4,0.174573,0.82480625,0.1,0.696337917,0.808755,0.1202622,0.1,0.1,0.14638515
ACOT6,0.141073275,0.33419405,0.1,1.202958917,0.292189,0.1619822,0.1,0.1,0.3408335
ACOT7,0.71137825,1.888108,5.784185,0.6225485,4.40252,1.0219976,0.1,1.0895765,2.42898925
ACOT8,0.444345,0.738957,1.217978333,0.261299833,0.1,0.1570398,0.1,0.394161,0.102688375
ACOT9,2.168866,2.3493825,2.154586667,3.037906667,2.77727,1.56483,10.4,1.0424415,0.57268425
ACOX1,5.95744,6.2638075,4.798713333,12.81689167,3.57145,2.650112,2.6,1.6094,1.65018
ACOX2,1.63337075,0.41009925,0.258681667,1.889485167,0.218398,0.1,0.1,0.2760785,0.1190082
ACOX3,0.9066945,1.47209825,0.980205833,1.135380333,0.529018,0.3588748,0.4,0.571437,0.43170725
ACOXL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACP1,11.457345,9.7495575,11.55887167,9.921546667,23.6742,12.778622,8.8,3.469775,3.8799775
ACP2,1.756243,0.950267,2.122958667,1.063283583,1.84083,0.323535,0.5,0.4653835,0.248126325
ACP5,0.1,0.1,0.1,0.116680917,0.1,0.1,0.1,0.1,0.1
ACP6,2.4112175,0.963722,0.915364,3.384831667,1.15012,0.6584018,0.8,1.1061475,0.471897225
ACPL2,8.9394415,1.58314925,3.524717667,1.774303583,5.07153,1.9419518,0.2,0.237665,1.59615175
ACPP,0.523662275,0.311041325,0.482185167,0.16115975,0.284119,0.400344,2.6,0.1,0.113380025
ACPT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACR,0.531145,0.14482975,0.1328385,0.1,0.1,0.1,0.1,0.17143,0.0907232
ACRBP,0.0862029,0.233942,0.1371825,0.142436833,0.1,0.2302718,0.6,0.1,0.0866394
ACRC,0.2515215,0.28049775,0.307388667,0.303797417,0.770618,0.4453252,0.8,0.1,0.458853
ACRV1,0.3303035,0.098992725,0.76363565,0.106336083,1.23037,0.1606682,0.1,0.1,0.19816825
ACSBG1,5.587985,6.01062,0.886219833,19.55966667,1.24443,0.6158634,0.1,0.2856585,1.04475325
ACSBG2,0.05358715,0.1113085,0.10629,0.133033583,0.1,0.1,0.1,0.1,0.0806031
ACSF2,0.57767675,1.076625,0.562987167,2.251560333,0.1,0.2686418,0.9,0.2642565,0.121827625
ACSF3,0.10594,0.255285,0.590769,0.173771167,0.1,0.1072416,0.1,0.184912,0.11974425
ACSL1,0.7997161,12.749225,0.119854167,1.299490917,3.62316,10.979894,23.6,0.2732385,0.65119225
ACSL3,12.231725,15.878475,5.201345,23.28230833,22.0884,10.453118,10.0,10.278705,12.996925
ACSL4,1.6884262,2.8806375,0.795380333,1.259132583,9.61879,3.131494,10.4,1.248905,3.9122575
ACSL5,0.343637,0.370921275,0.091525267,0.163160917,0.304432,0.3955306,4.5,9.219145,0.364836
ACSL6,5.385895,11.8230625,1.606149667,37.37903333,14.5956,1.955618,0.1,0.844099,6.3843775
ACSM1,0.1,0.1,0.1,0.10204375,0.1,0.1,0.1,0.1,0.0803055
ACSM2A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACSM2B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACSM3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACSM4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08277845
ACSM5,0.14310065,0.67485975,0.1,0.499532583,0.1,0.2542144,4.2,0.1,0.2035995
ACSS1,1.7038115,6.28051,1.0319475,12.58505417,0.205666,0.8222538,0.9,0.5747305,0.5370845
ACSS2,1.38097065,4.288213,1.72883,1.775259,0.951795,2.72208,1.5,1.1492945,0.5099815
ACSS3,3.8512975,2.78239,2.92756,7.380565,0.810414,0.1922516,0.1,0.5662025,0.6257735
ACTA1,0.104988925,0.1,0.1,0.104521833,0.179628,0.1,0.1,0.1,0.09409385
ACTA2,7.11577,1.610112,0.656011667,2.712336917,2.52018,0.5019048,1.5,11.5095,0.7548361
ACTB,410.58775,385.9145,445.8235,211.0206667,206.499,338.8316,664.5,147.9675,27.1828775
ACTBL2,0.1,0.1,0.1,0.1,0.177163,0.1,0.1,0.1,0.05844505
ACTC1,0.0820973,0.179865125,0.293064667,0.105651,1.04988,0.2316652,0.1,0.1,0.586446
ACTG1,105.618975,92.84095,201.7651667,81.8765,110.493,78.98866,93.8,25.3149,15.49496
ACTG2,0.2251907,0.1,0.1,0.121109917,0.1,0.1,0.1,1.09729,0.092898675
ACTL10,0.1,0.09497795,0.453465667,0.116901417,0.1,0.1,0.1,0.1,0.1
ACTL6A,10.05790258,5.0588275,4.343243333,2.937112833,0.76421,5.54469,4.1,0.9546855,0.38782825
ACTL6B,0.16934925,0.133883175,0.29449,0.113028667,0.1,0.1,0.1,0.324545,0.459956125
ACTL7A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
