gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
Cd36,41.95468912,37.74314457,35.70557842,54.38887934,32.35358649,35.28886638,31.32774028
LOC103690020,102.9040416,82.78424979,97.37323662,162.9058941,78.29554367,96.98755411,77.17771196
Olr1,99.73852782,117.3589888,95.81169059,88.81643242,67.53976557,70.75165153,77.71836536
Star,57.21368798,45.38488323,51.55406427,39.23756595,38.23014327,52.87430001,42.96367668
Rgs8,129.2474069,115.8275157,137.0748543,108.6972851,99.34787847,128.0075557,109.4664946
Fut1,33.20264939,36.52432458,32.28757152,38.44391653,37.7795423,31.38589783,36.73768661
Fut2,28.66310138,31.12022658,30.19025657,34.28576632,36.81722368,29.63646123,31.85281056
Timm17a,761.7392667,1155.268355,927.6347961,915.065584,894.9166506,829.3847452,907.0200368
Timm23,1039.207835,1559.415236,1350.265403,1370.532659,1629.951996,1018.222115,1446.395212
Ncdn,1002.387523,951.4147667,653.7390762,638.7036098,894.8922755,1194.593367,1059.190673
Chkb,417.3891017,434.1532076,481.5734423,501.5840096,527.6072843,487.7310357,521.0581452
Chkb,791.3823408,790.5672043,832.5344327,769.1453572,937.6630793,971.065271,961.7005256
Pfkfb3,280.8832828,224.4574727,262.3681306,193.1359304,202.402013,287.2001421,229.9917167
Pcdhga11,171.9797713,131.5890387,136.4979684,105.2989615,113.6243753,151.4686849,121.205907
#N/A,91.16571113,65.0005424,104.8071811,58.14026418,58.76343416,95.11810671,63.98839757
#N/A,217.6284481,146.8365851,160.8148401,115.311836,108.8695342,196.5958493,133.3909354
#N/A,120.3217846,96.98088908,97.55739099,74.6162675,79.76149257,114.3590357,81.54584279
Trip10,306.7016845,337.6749355,413.963543,330.0618795,341.5273434,347.6326072,381.662135
AC107446.1,173.9759521,168.0232728,171.1683048,163.6371517,178.7251233,151.6984176,161.9803862
Homer1,100.9602846,90.30322567,82.98356617,102.5954684,97.97613472,83.35575925,81.28585842
Homer2,338.399262,350.7037933,303.2901537,351.6544827,333.4938775,279.6530128,325.772479
Homer2,134.1186129,126.1578587,113.9933259,135.5990587,122.3793836,101.6309273,112.9338152
Homer2,200.0727812,197.120277,172.7852691,222.2934126,190.0635176,163.2791538,181.6564005
Cad,182.0193091,203.0085614,174.9931201,224.2702365,207.3949863,156.0831859,183.8636455
RT1-DOb,49.45456244,46.08181652,41.98160364,58.95391079,48.85482661,37.48719681,44.20745257
Cyp2d2,253.2823278,235.5176016,209.8450077,260.746675,230.5409141,193.9846495,227.5934476
Cyp2d3,198.0125781,166.6745584,140.6529566,199.9517292,161.1233405,131.8414651,157.3245648
Dync1li2,106.5006621,106.7163471,90.73264423,129.4744808,112.0742508,85.39830477,95.5547303
Dync1li2,17.51817191,16.40883325,16.23965603,19.13131242,16.94916348,13.55197454,15.41763469
Alcam,284.2219901,331.0140642,279.854571,340.1141141,528.9049453,382.3876912,793.024398
Fgf17,118.3022028,128.8942629,118.5022713,136.7477041,140.3454235,105.4430782,120.0900077
Ctnnd2,191.4519602,200.3903298,166.4802817,220.7667803,185.557855,166.8287091,159.8120411
Gsto1,612.3907354,940.6595399,858.1936841,997.5822085,1250.788645,689.2844632,958.2875571
Gsto1,1004.839446,1341.585194,1412.053376,1522.833161,1851.195148,1152.9565,1430.092796
Trpc4,86.28179085,71.57064619,73.36894057,66.19697432,59.54830152,66.47913752,67.05523267
Fgf14,32.8868074,31.29011696,27.69360428,30.40936726,28.27707195,22.63791345,26.03583758
Clec11a,214.0410943,197.0466129,182.4768316,213.0009191,192.3457197,169.6141317,191.5272005
Aspg,198.5325293,242.2165806,313.1222982,233.9608955,201.6358801,253.658449,243.3825993
Lrp3,56.8556709,46.08789665,41.3388109,46.17347923,47.08171544,51.88200648,50.18131942
Lrp3,282.9508415,213.6374056,190.2678446,210.8561597,206.5101977,244.6922907,240.5842677
Pik3c2g,108.6454898,85.5332811,77.23617659,86.61700783,69.12186572,78.6036866,87.17068127
Crisp2,66.33686005,53.9691553,51.97368511,54.49710525,49.12572586,54.90798588,50.7884078
Prl8a4,44.4422107,36.7365116,31.70827537,35.42145537,28.9484552,35.57779098,28.74881058
Tpbpa,751.7142347,599.1407383,476.4089,607.5193116,478.8526914,486.4931399,446.063658
Tpbpa,74.2481503,59.33270084,65.374327,58.4256782,56.60726819,62.82328089,57.77431275
#N/A,555.6546974,405.598204,380.0141342,375.7039538,380.7255172,515.7999775,447.0756717
#N/A,539.7856946,362.3359429,211.0007775,223.7617112,342.113826,609.9690893,473.5648072
Dynlt1,529.8918655,520.6368699,647.4949192,518.1607905,539.4082223,649.6856421,473.4037281
Dynlt1,540.4999695,653.8133876,833.9949912,631.341132,708.6327731,580.6756846,597.8222954
Sbk1,179.3328501,143.7358745,186.9495581,144.0018814,135.5967367,181.3172194,146.5293479
Lif,349.5738124,272.8958653,300.34254,248.9463658,235.6182125,297.4094321,260.5526702
Acot1,132.6424363,95.29496405,66.09608028,97.10241606,136.7231809,70.70095832,112.977997
Acot2,62.55259332,59.77380982,52.54840427,72.1227414,67.20615296,46.19952691,59.74000014
#N/A,61.47259697,41.16882211,44.52388181,37.1587689,32.6617159,56.96056154,39.29051889
#N/A,27.42096508,20.17130921,22.77475282,16.17580157,15.98616075,25.34509038,18.25915922
Abcc6,550.2413321,455.6820326,388.2512079,558.0875969,435.3620802,375.1308112,442.2641002
Abcc3,190.0031499,209.9632912,195.7885859,237.2758223,276.8788715,167.8106871,245.9358883
Ces2,92.40339942,88.22176672,64.25353718,89.89151285,75.86763456,64.10972824,64.73268941
Ucp2,2053.295144,1948.836939,3533.14359,2199.883932,2983.589606,3129.263526,2164.902451
Cd46,41.29341784,30.30725445,35.13096309,28.47241656,26.9145204,36.04172642,30.95575561
Mmp23,249.2677708,199.3184071,318.5016222,194.5788129,293.4736268,402.8433637,285.925142
Kcnmb1,240.0528217,172.6344697,207.9037459,149.8744982,127.1042706,219.7155832,140.4580313
Padi1,112.7412232,107.4959541,114.3532636,116.8329342,126.52036,95.80394522,100.6050428
Padi4,305.8537758,277.486906,273.4211139,327.3711746,278.8000434,220.3175765,225.6880642
Slc25a14,286.804528,300.0846503,267.0290527,321.146894,315.1796708,297.9655947,293.7439118
Slc25a14,382.9828736,405.0419827,262.8487074,362.5509989,392.8856519,377.2760718,398.4836468
Pparg,93.81323734,78.25748225,68.78903228,79.28951379,76.4487003,68.85830698,80.01166675
Rbck1,694.0882283,736.7443962,833.2957089,883.6288569,926.4370865,931.751364,895.4139477
#N/A,97.94355736,96.07279432,84.32456779,103.5614167,96.74887596,95.81777381,108.414875
Celsr3,27.76038971,26.15278813,20.95644144,30.12116074,24.27230718,21.97077869,22.94095535
Celsr3,401.4644501,408.7397314,314.0758647,426.1766078,368.6506027,312.7319508,350.4279488
Slit1,230.6702767,235.6278687,231.0716739,271.6910839,247.4352134,176.1608671,217.9261928
Slit3,238.6099412,259.33001,254.5309271,272.3797568,247.1170646,193.158394,219.2135909
LOC100911486,387.0450087,426.3485117,358.4548796,419.3670783,378.2967419,316.8224905,360.1010144
Tub,56.44720388,53.39503513,50.0469111,59.00400575,52.84584262,37.11638289,49.06708344
Utrn,49.08117746,49.00006406,42.77059741,54.89890715,46.01994858,38.18525278,41.74990157
Tubb5,322.646627,489.3060655,577.372701,701.0611127,683.3984748,263.1604025,505.3569125
Uts2r,468.1313873,438.530125,429.9978989,512.2865112,410.2290159,373.4655963,395.7489181
