gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
ACVR2A,1.19795,1.8516675,4.473251667,1.711846667
ACVR2B,1.04204475,1.61531725,5.028765,1.520356
ACVRL1,0.080306725,0.1,0.165564783,0.1
ACY1,1.585822,1.121946,1.253149167,1.776319917
ACY3,0.15136,1.18987925,0.090859483,0.140857917
ACYP1,5.57789,8.85387,1.92379,3.900310833
ACYP2,15.2313125,16.319325,2.18934,18.67440833
ADA,1.3596755,1.37733925,0.413786833,1.94588725
ADAD1,0.1,0.1012,0.1,0.1
ADAD2,0.1,0.1,0.1,0.1
ADAL,2.3175375,3.20134,1.628861667,4.019305833
ADAM1,0.3460895,0.547264,0.639415333,0.506351583
ADAM10,6.412503,12.9724725,6.86743,7.425261667
ADAM11,0.07254735,0.0564081,0.206889667,0.130614
ADAM12,4.099555,0.28386925,0.115903,0.28570225
ADAM15,0.2796715,0.63605575,0.434831167,0.31083775
ADAM17,8.01982775,5.60586,7.061548333,4.564908333
ADAM18,0.1,0.1,0.1,0.1
ADAM19,0.672122975,0.7395155,0.372186667,0.10028525
ADAM2,0.1,0.1,0.1,0.1
ADAM20,0.176643725,0.099094,0.089689183,0.32108675
ADAM21,1.489972875,0.2113828,0.1139835,0.724778833
ADAM21P1,0.07567085,0.113649275,0.0915129,0.14461625
ADAM22,2.5659075,4.1455025,2.4101625,2.54427
ADAM23,2.49661445,1.375261,2.476271667,0.993311083
ADAM28,0.123942225,2.99114075,0.091979167,0.534722833
ADAM29,0.1,0.087412725,0.1,0.1
ADAM30,0.0561114,0.1,0.1,0.1
ADAM32,0.9923455,1.7861105,0.265452833,0.503641
ADAM33,0.359369,0.2210893,1.5942945,0.533691083
ADAM3A,0.1,0.1,0.1,0.1
ADAM5P,0.1,0.1,0.1,0.1
ADAM6,0.1,0.1,0.1,0.1
ADAM7,0.1,0.1,0.1,0.1
ADAM8,0.097238075,0.0644653,0.1,0.1
ADAM9,41.13748,6.730845,12.39370833,5.402913333
ADAMDEC1,0.071747775,0.1,0.1,0.1
ADAMTS1,6.020794575,9.7277525,2.943705,0.866449
