gene	activatedaOPCs_mean	non_activatedaOPCs_mean
Hmox2	7998.717968	13345.85395
Eps15	2374.947439	4010.19011
Zfp790	1604.344763	1362.659288
Trnau1ap	2627.365518	2835.832543
0	957.0456193	864.4664295
Dsp	1010.812018	1017.635182
0	964.3070575	1590.256567
Cby1	1169.323224	1717.602774
0	935.7150323	938.6093298
Gm5588	923.02123	955.5664043
Olfr373	933.2435964	1000.639616
Tnfrsf1a	2614.177885	1172.778867
Grwd1	1131.796916	1308.750199
LOC100044058	890.019165	911.8609879
4931407G18Rik	1061.514468	977.354531
Odf4	949.5454332	1021.640332
Msi1	1359.149873	975.0527971
B230308N11Rik	1522.399484	1154.881529
Rec8	1799.716823	1410.150266
Mecp2	5148.203586	5100.050305
Lrrk2	1056.569515	973.9530438
Ppapdc1a	1163.328671	1034.776757
Fam76b	2610.806468	2953.845925
3110057O12Rik	1154.280564	1877.838438
Smek2	2397.591911	2430.873076
Zc3h18	10629.00695	12050.99043
Zfp433	1791.637811	2099.049386
V1rg9	995.6778579	1066.858602
Atp5g2	58744.80779	58184.30733
Nme6	1858.281161	1772.702721
41883	864.6619021	791.9995426
Gm6938	933.2946216	826.8464186
Obox3	955.9933571	872.098099
Armcx5	2738.412864	2496.802371
LOC100039225	959.2378163	933.1486252
Morn5	2478.820553	1168.960845
Parl	2717.635021	2650.290905
Olfr345	986.3783625	975.1241976
Ndufa5	8371.946286	7942.57761
Lin9	1094.270034	1066.606589
Gm2287	960.7654186	967.1236824
Mbd3l2	896.7858868	1003.703244
Gm16462	1081.426315	1022.398242
Zic2	1104.119921	940.2882238
Zfp68	1262.602546	1476.724288
Pdgfra	2278.731952	1110.54615
0	1063.133071	972.163479
Sgip1	910.2077382	870.39527
Gm16391	1695.580329	1631.295414
Rnps1	1218.806571	1122.68047
Slc7a14	1637.149457	995.0442798
Krtap5-5	918.2291264	1155.654725
Rps17	56869.20929	47060.76224
Gm4888	1595.045227	1614.576026
0	910.7700557	907.4043881
Fnd3c2	895.3464614	941.7672052
Afg3l2	2327.074671	2690.206667
Gm6434	11690.66063	13753.64364
Lrrc14b	919.8747223	1179.30654
0	986.0337725	1037.693031
Lifr	1658.137628	1494.135755
Lrrfip2	1451.131108	1616.337205
Klra5	940.9455644	970.4978724
Mysm1	1796.174786	3027.5144
Clns1a	2868.235211	2821.902698
Olfr411	934.9543236	888.5894638
4933401F05Rik	915.2053836	1534.494156
Gm11541	838.8153114	1462.026031
Ormdl2	4983.497354	7424.374195
Gm3650	930.3858055	943.124854
0	1115.894103	928.0797962
Ran	5198.120304	4081.103476
Pla2g7	1073.372624	1132.941865
Abpb	1013.734591	984.4877448
Nwd1	846.9501143	978.8336643
Hdgfrp3	5938.605575	6186.581152
Grik3	3058.947811	924.2994769
0	8732.156636	4717.143367
Rnft2	5709.181904	3281.144633
0	915.1441004	941.4411324
Gm2263	905.618995	813.6922771
Clybl	868.5081939	897.5591271
Tgfb2	1064.41049	1088.781935
Dcun1d4	2272.02365	2593.31179
Pde11a	960.9675025	1092.682663
Eif1ay	10005.07179	8666.445819
Zfp503	1299.96443	1184.290047
0	1008.829821	877.1868605
Sparcl1	7970.5795	5782.907943
Gm3761	1173.59061	893.7655079
Pigv	973.4489934	966.8698975
4930564K09Rik	961.7731446	917.0921679
Dpt	939.1351354	917.2624286
BC059842	7637.050289	12138.86489
Wfdc3	965.2713609	962.0137395
Col5a2	933.4486814	857.078941
0	852.4399839	983.6214581
Bend6	1197.793244	1018.533295
Rab39b	1694.041674	1384.069613
Lhx6	1228.815625	861.1468948
Gm9805	1464.141537	840.5876071
Gm8008	937.1726989	937.5877867
Gm5591	941.1355529	997.4456581
Lrrtm4	925.3226689	864.6031638
Fos	32367.11362	6796.820554
Gm7079	65525.64652	65522.45571
1700112E06Rik	1000.181655	965.0389238
Epgn	1157.314501	946.530651
Gm4988	979.7031421	943.8362538
Utp6	65525.64652	65522.45571
Olfm1	1077.041457	1138.132165
0	1438.678002	1504.726436
Tppp	13787.60613	39043.79286
Gne	3755.549482	3011.490395
Zfp33b	1738.850468	2150.305071
Exoc3l2	1007.278639	886.8203929
Gm8894	60461.27504	58757.64086
Ccl28	960.6793773	916.5138571
0	888.418585	925.7591448
Wfdc11	951.6848982	1065.656713
V1rh12	935.9251771	956.0882402
Vmn2r-ps122	1008.714468	1019.997362
Nudcd3	30341.18636	25926.94
D430047D06Rik	1009.542385	974.0396293
Prss42	955.824702	893.5027519
2310035K24Rik	6782.336018	4400.118176
0	1072.148355	872.3304933
Tfpi	932.5956936	1048.594865
Nptn	1429.076722	1677.815238
Capn12	1072.616461	893.9024057
Rnf160	1325.981054	1458.066686
LOC100046378	1208.038	919.7826314
Tmed11	1267.193457	1217.148427
Rnf19a	4288.264593	3566.352381
Elmod3	5270.751914	5902.501114
Olfr726	1147.727931	1005.141412
Ankle2	1534.94043	1315.467695
2610110G12Rik	1384.032824	2026.124357
Lyrm4	2042.181143	1702.935962
5830420C07Rik	1036.78503	1329.973177
LOC100045292	1126.783608	936.9084971
Gm4368	1060.840136	848.94042
0	959.5135986	1063.681548
0	925.3242854	1126.517272
Pfn3	872.3036198	905.5570457
C330019L16Rik	7911.828664	11324.44132
Opn3	1106.472109	918.0729295
Olfr1467	1015.969626	906.6004876
Mrps33	2720.893175	3053.408619
Cd6	958.8329307	1300.543563
0	970.7574414	1789.044102
0	1024.428031	1588.033807
Gstz1	6475.096389	5535.067862
Hist1h3c	3086.72635	3294.92421
Manea	1340.395174	1545.782911
Htr4	914.0597961	830.9384229
Igbp1	3605.216271	2930.884695
Mtss1	2329.851656	2136.611662
LOC100048332	1036.025678	1026.720381
0	1460.822544	1774.284038
BC051070	871.2738736	895.366666
Vps33a	2410.334322	2622.533196
Rsl24d1	1270.887575	1159.287346
A630039F22Rik	904.6020627	1113.175634
Mettl6	1840.947768	1912.4987
9430060I03Rik	1344.561883	1225.127178
0	860.2880575	767.0190029
LOC100045635	894.7760075	837.3444186
Zfp317	1277.009345	1785.545607
Wfdc10	840.7662036	929.1949957
Klre1	918.8525482	793.0778833
Arr3	928.1247975	906.219039
0	975.6960654	1108.765355
Olfr17	802.3621511	979.3187076
Dab2	977.125825	1078.920452
0	2232.942339	1882.878181
LOC100048025	977.1655075	905.5652524
4930550C14Rik	1173.573026	938.663526
Dgkz	4377.256007	4917.172724
Chrm4	1145.796296	957.0210057
0	1152.353767	863.9233424
Gm5848	8042.393118	8134.829038
Dopey2	10320.83223	21015.95012
0	1272.442789	950.830491
Slco6d1	989.7634425	1030.173683
0	7058.563514	3708.255838
0	1099.408937	879.8049457
Insl6	1190.597637	1050.219277
Otof	3093.699418	2177.457429
Wdr74	3115.775706	2154.881868
Gm5955	1297.138281	1073.769824
Ap4e1	1021.722686	960.0084021
Npffr1	1057.759838	1049.442873
LOC545383	1109.3158	1072.943551
Ddah1	1515.193687	1606.04077
Sytl3	1151.337413	870.6065533
Clrn1	1011.228015	1029.178712
Dnalc4	5398.241093	4078.614295
Rabac1	58907.26614	48526.15333
0	3544.921982	8942.778152
Krtap12-1	994.4497532	963.7970395
Kif6	1301.404348	2377.023543
Olfr415	1039.472425	834.6244414
Alg6	1303.175523	1071.551244
Ube2m	2949.731882	2647.3023
D930021N14	1139.99289	724.5033162
X76971	969.2240207	934.121871
Vmn2r112	935.6687811	1015.886651
Myst1	11536.77881	8600.78634
LOC634100	1027.824691	1065.970963
Hbs1l	1010.171416	1050.546708
Fabp7	3813.879654	1723.324462
0	1159.588766	873.4990762
Slc26a1	1278.322506	1192.832014
Gm628	962.9099839	997.249314
Cops7a	1673.525084	1130.318607
0	1110.220806	882.343911
4930563F15Rik	1161.290638	1050.201169
Gm3805	1390.347819	929.9316893
C230004F18Rik	1378.421252	891.0761533
Gm3772	1157.041752	941.0373938
Lgi3	21036.80093	32759.52852
Gm6177	65441.27413	60618.72081
Ankrd36	1049.795336	959.1605367
Exoc3	3618.227571	5558.524805
37865	2044.972254	1517.120629
Tyr	980.1006847	917.5570703
0	1064.604503	1006.949393
Gm3790	51875.05839	65522.45571
Prmt2	9442.655175	15564.09619
4632411B12Rik	9284.991032	13319.49706
Gusb	3418.365185	2752.794869
Il7	1026.449535	939.8543429
Mdh2	56377.75518	58061.76943
Sycp1	1068.017387	1162.305964
Prex1	7957.006193	8414.943557
Sh3bp5l	10058.61947	19563.38229
V1re7	1236.070039	1074.587479
Actg1	13232.89807	9515.397795
Rb1	4058.152377	3828.720493
E330014E10Rik	826.7482127	1215.819975
Fam126a	6208.519354	7027.722652
Lrrc61	3915.505871	3066.280081
LOC100045196	908.8684668	937.1633848
Gm13777	65525.64652	63890.56776
Cops7a	9995.391882	8095.598445
Gpa33	1025.599762	862.2308443
Adcy4	1022.368107	849.741491
Ebf3	874.718585	937.8676045
0	1199.839153	1785.28689
4930486G11Rik	910.9517543	871.8751805
Maoa	1566.411499	2155.34861
0	907.3290196	1024.3612
0	919.2756514	1018.446334
Ralgapa2	953.8097904	1356.400315
AF067061	1009.474223	956.1458448
0	971.869155	868.8028295
Id1	4588.425718	2087.326586
Zxdc	1013.446579	1198.663411
Mfn2	4088.614536	3646.447133
LOC100039005	1019.506914	973.091249
0	914.904482	831.2659071
Slc26a11	2996.001891	5551.844313
Defa-rs7	1155.059465	958.8250419
Ankrd11	9530.291389	9418.594638
Hip1	3696.762836	4118.331262
